feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
Interstitial emphysema,0.34,0.129,0.897,0.029,0.10303274087932648
"Other complications due to unspecified device, implant, and graft",4.079,1.148,14.489,0.03,0.10579387186629526
Abnormal feces,2.098,1.073,4.1,0.03,0.10579387186629526
"Unspecified fracture of facial bones, initial encounter for closed fracture",1.791,1.057,3.034,0.03,0.10579387186629526
Traumatic pneumothorax without mention of open wound into thorax,1.719,1.053,2.805,0.03,0.10579387186629526
Delirium due to conditions classified elsewhere,1.148,1.014,1.299,0.03,0.10579387186629526
Hereditary deficiency of other clotting factors,0.265,0.08,0.876,0.03,0.10579387186629526
"Combined systolic and diastolic heart failure, unspecified",0.262,0.078,0.877,0.03,0.10579387186629526
Esophageal hemorrhage,0.259,0.076,0.878,0.03,0.10579387186629526
"Closed fracture of mandible, unspecified site",4.693,1.153,19.101,0.031,0.10881515711645101
"Other spondylosis, site unspecified",1.563,1.041,2.346,0.031,0.10881515711645101
Hypocalcemia,0.738,0.56,0.973,0.031,0.10881515711645101
Chronic cholecystitis,0.45,0.218,0.93,0.031,0.10881515711645101
Arthritis due to Lyme disease,0.234,0.062,0.879,0.031,0.10881515711645101
Selective IgA immunodeficiency,3.257,1.104,9.606,0.032,0.11160330578512397
Other forms of nystagmus,3.181,1.105,9.162,0.032,0.11160330578512397
"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter",2.949,1.099,7.911,0.032,0.11160330578512397
Personal history of malignant neoplasm of bladder,0.782,0.625,0.979,0.032,0.11160330578512397
Family history of malignant neoplasm of ovary,0.404,0.176,0.927,0.032,0.11160330578512397
"Other physeal fracture of lower end of right tibia, initial encounter for closed fracture",0.383,0.159,0.919,0.032,0.11160330578512397
"Tinnitus, bilateral",0.235,0.063,0.882,0.032,0.11160330578512397
Personal history of malignant neoplasm of other and unspecified oral cavity and pharynx,1.716,1.045,2.816,0.033,0.11487992667277727
"Acute recurrent sinusitis, unspecified",0.352,0.135,0.92,0.033,0.11487992667277727
Severe intellectual disabilities,3.398,1.097,10.526,0.034,0.11782116788321167
Unspecified hypertensive heart disease without heart failure,2.631,1.078,6.421,0.034,0.11782116788321167
"Abnormal serum enzyme level, unspecified",0.702,0.506,0.974,0.034,0.11782116788321167
Other septicemia due to gram-negative organisms,0.678,0.474,0.971,0.034,0.11782116788321167
Chronic embolism and thrombosis of other specified deep vein of unspecified lower extremity,0.277,0.084,0.908,0.034,0.11782116788321167
Inclusion body myositis,3.698,1.1,12.436,0.035,0.12062613430127042
Antiallergic and antiemetic drugs causing adverse effects in therapeutic use,2.585,1.069,6.252,0.035,0.12062613430127042
Rheumatic disorders of both mitral and aortic valves,1.464,1.027,2.086,0.035,0.12062613430127042
Personal history of malignant neoplasm of ovary,0.624,0.402,0.968,0.035,0.12062613430127042
"Disorder of the autonomic nervous system, unspecified",0.582,0.351,0.964,0.035,0.12062613430127042
Mechanical complication of automatic implantable cardiac defibrillator,0.25,0.069,0.909,0.035,0.12062613430127042
Nonspecific (abnormal) findings on radiological and other examination of lung field,2.498,1.061,5.882,0.036,0.12328944995491432
Chronic anal fissure,1.998,1.046,3.818,0.036,0.12328944995491432
Autoimmune hepatitis,1.643,1.034,2.612,0.036,0.12328944995491432
"Gout, unspecified",0.9,0.815,0.993,0.036,0.12328944995491432
Acute cholecystitis,0.624,0.402,0.97,0.036,0.12328944995491432
"Disease of upper respiratory tract, unspecified",0.438,0.203,0.946,0.036,0.12328944995491432
Bladder disorders in diseases classified elsewhere,0.356,0.136,0.935,0.036,0.12328944995491432
"Motorcycle driver injured in collision with other motor vehicles in traffic accident, initial encounter",2.512,1.059,5.957,0.037,0.1260322869955157
"Congenital renal cyst, unspecified",2.142,1.049,4.374,0.037,0.1260322869955157
Chronic pulmonary embolism,0.551,0.315,0.964,0.037,0.1260322869955157
Pain in left ankle and joints of left foot,0.353,0.133,0.937,0.037,0.1260322869955157
Hemangioma of intra-abdominal structures,0.327,0.115,0.934,0.037,0.1260322869955157
"Accidental kick by another person, initial encounter",0.309,0.102,0.931,0.037,0.1260322869955157
Drug induced subacute dyskinesia,2.679,1.054,6.811,0.038,0.1290912343470483
External hemorrhoids without mention of complication,1.671,1.029,2.712,0.038,0.1290912343470483
"Spondylosis without myelopathy or radiculopathy, cervicothoracic region",0.707,0.509,0.981,0.038,0.1290912343470483
Other somatoform disorders,5.318,1.089,25.967,0.039,0.13143034605146406
Other specified mycoses,3.356,1.065,10.572,0.039,0.13143034605146406
"Displacement of aortic (bifurcation) graft (replacement), initial encounter",1.611,1.024,2.534,0.039,0.13143034605146406
"Unspecified asthma, uncomplicated",0.895,0.806,0.995,0.039,0.13143034605146406
Helicobacter pylori [H. pylori],0.551,0.313,0.97,0.039,0.13143034605146406
Embolism and thrombosis of other specified artery,0.445,0.206,0.959,0.039,0.13143034605146406
Anal prolapse,0.389,0.158,0.955,0.039,0.13143034605146406
Unspecified external cause status,0.291,0.09,0.941,0.039,0.13143034605146406
"Poisoning by heroin, assault, initial encounter",0.144,0.023,0.908,0.039,0.13143034605146406
"Myelitis, unspecified",2.695,1.048,6.929,0.04,0.13361477572559366
Aphasia following unspecified cerebrovascular disease,0.722,0.53,0.985,0.04,0.13361477572559366
"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.719,0.525,0.985,0.04,0.13361477572559366
Duodenitis without bleeding,0.595,0.362,0.977,0.04,0.13361477572559366
"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction",0.589,0.355,0.977,0.04,0.13361477572559366
"Infection and inflammatory reaction due to internal right hip prosthesis, initial encounter",0.441,0.201,0.965,0.04,0.13361477572559366
Feeling of incomplete bladder emptying,0.391,0.16,0.957,0.04,0.13361477572559366
"Third [oculomotor] nerve palsy, right eye",0.367,0.141,0.955,0.04,0.13361477572559366
Other complications of corneal transplant,0.287,0.087,0.945,0.04,0.13361477572559366
"Other atherosclerosis of native arteries of extremities, bilateral legs",0.278,0.082,0.944,0.04,0.13361477572559366
Pneumonia due to respiratory syncytial virus,3.034,1.048,8.786,0.041,0.13647502191060473
Nonspecific reaction to tuberculin skin test without active tuberculosis,2.091,1.031,4.24,0.041,0.13647502191060473
Cellulitis and abscess of face,0.441,0.201,0.967,0.041,0.13647502191060473
Tinea unguium,0.335,0.117,0.954,0.041,0.13647502191060473
"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, initial encounter",2.939,1.04,8.302,0.042,0.1390723626852659
"Persistent postprocedural fistula, initial encounter",1.877,1.024,3.443,0.042,0.1390723626852659
Panic disorder [episodic paroxysmal anxiety],1.554,1.016,2.378,0.042,0.1390723626852659
"Benign paroxysmal vertigo, right ear",0.578,0.34,0.981,0.042,0.1390723626852659
Bence Jones proteinuria,0.372,0.143,0.967,0.042,0.1390723626852659
Unspecified nontoxic nodular goiter,0.276,0.08,0.952,0.042,0.1390723626852659
"Injury of right internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, initial encounter",3.217,1.038,9.969,0.043,0.14176562499999998
Enteritis due to norwalk virus,2.539,1.028,6.272,0.043,0.14176562499999998
"Pressure ulcer of right upper back, stage 2",2.352,1.029,5.375,0.043,0.14176562499999998
"Other osteonecrosis, left toe(s)",0.3,0.093,0.964,0.043,0.14176562499999998
Generalized hyperhidrosis,0.253,0.067,0.958,0.043,0.14176562499999998
"Unilateral primary osteoarthritis of first carpometacarpal joint, right hand",2.892,1.027,8.141,0.044,0.1444356093344857
Encounter for aftercare following kidney transplant,1.297,1.006,1.67,0.044,0.1444356093344857
Personal history of traumatic brain injury,0.643,0.419,0.987,0.044,0.1444356093344857
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter",0.45,0.207,0.979,0.044,0.1444356093344857
"Contusion of unspecified knee, initial encounter",0.37,0.14,0.974,0.044,0.1444356093344857
Other selective immunoglobulin deficiencies,2.53,1.022,6.265,0.045,0.14720930232558138
"Elevated blood-pressure reading, without diagnosis of hypertension",0.531,0.286,0.985,0.045,0.14720930232558138
"Other fracture of shaft of right humerus, subsequent encounter for fracture with nonunion",0.348,0.124,0.978,0.045,0.14720930232558138
"Thiamine deficiency, unspecified",0.291,0.087,0.974,0.045,0.14720930232558138
"Down syndrome, unspecified",1.961,1.011,3.806,0.046,0.1498353344768439
"Fracture of xiphoid process, initial encounter for closed fracture",1.808,1.011,3.235,0.046,0.1498353344768439
Anemia due to antineoplastic chemotherapy,0.728,0.533,0.995,0.046,0.1498353344768439
"Personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus",0.695,0.486,0.993,0.046,0.1498353344768439
"Subdural hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",0.309,0.097,0.979,0.046,0.1498353344768439
Tracheostomy status,1.405,1.005,1.964,0.047,0.15269974337040204
Secondary hyperparathyroidism (of renal origin),0.709,0.505,0.996,0.047,0.15269974337040204
"Multiple fractures of ribs, unspecified side, initial encounter for closed fracture",0.689,0.478,0.994,0.047,0.15269974337040204
Malignant neoplasm of pyloric antrum,2.752,1.008,7.513,0.048,0.15515234042553191
Rheumatic mitral stenosis,1.965,1.007,3.833,0.048,0.15515234042553191
Post therapeutic collapse of lung status,0.817,0.67,0.998,0.048,0.15515234042553191
Morbid (severe) obesity due to excess calories,0.803,0.646,0.998,0.048,0.15515234042553191
Other impaction of intestine,0.352,0.125,0.989,0.048,0.15515234042553191
Unspecified disorder of adult personality and behavior,0.245,0.061,0.985,0.048,0.15515234042553191
"Myocarditis, unspecified",3.86,1.005,14.826,0.049,0.15744670050761422
Other urinary incontinence,1.693,1.001,2.863,0.049,0.15744670050761422
"Malignant neoplasm of corpus uteri, unspecified",0.576,0.332,0.997,0.049,0.15744670050761422
"Other specified abdominal hernia with obstruction, without gangrene",0.28,0.078,0.997,0.049,0.15744670050761422
Left upper quadrant pain,0.28,0.079,0.992,0.049,0.15744670050761422
"Pedal cycle driver injured in collision with other pedal cycle in traffic accident, initial encounter",0.26,0.068,0.992,0.049,0.15744670050761422
"Breakdown (mechanical) of other urinary catheter, initial encounter",0.258,0.067,0.991,0.049,0.15744670050761422
Malignant neoplasm of supraglottis,4.012,0.999,16.111,0.05,0.15971404541631626
Cerebral infarction due to embolism of unspecified carotid artery,1.599,1.0,2.554,0.05,0.15971404541631626
Facial weakness,0.78,0.608,1.0,0.05,0.15971404541631626
"Opioid abuse, unspecified",0.631,0.398,1.0,0.05,0.15971404541631626
"Other cervical disc displacement, cervicothoracic region",0.36,0.13,0.999,0.05,0.15971404541631626
"Laceration of other intra-abdominal organs, initial encounter",0.338,0.115,0.999,0.05,0.15971404541631626
"Assault by other bodily force, initial encounter",0.296,0.088,1.002,0.05,0.15971404541631626
"Heart failure, unspecified",2.543,0.995,6.497,0.051,0.16222613065326633
Chronic rhinitis,2.24,0.996,5.034,0.051,0.16222613065326633
Personal history of pulmonary embolism,0.849,0.721,1.001,0.051,0.16222613065326633
"Hypogammaglobulinemia, unspecified",0.642,0.411,1.003,0.051,0.16222613065326633
"Personal history of surgery to heart and great vessels, presenting hazards to health",0.322,0.104,1.004,0.051,0.16222613065326633
Acute pulmonary edema,1.316,0.997,1.737,0.052,0.16471726438698914
"Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified",0.791,0.624,1.002,0.052,0.16471726438698914
Ventral hernia without obstruction or gangrene,0.577,0.332,1.004,0.052,0.16471726438698914
Urgency of urination,0.384,0.146,1.01,0.052,0.16471726438698914
"Dysphagia, pharyngeal phase",0.273,0.074,1.009,0.052,0.16471726438698914
Neoplasm of unspecified behavior of brain,2.526,0.987,6.46,0.053,0.16746589018302827
"Epilepsy, unspecified, not intractable, without status epilepticus",1.143,0.998,1.308,0.053,0.16746589018302827
"Rheumatoid arthritis without rheumatoid factor, unspecified hip",0.84,0.703,1.003,0.053,0.16746589018302827
"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled",0.479,0.226,1.014,0.054,0.17020082987551866
Subacute and chronic vaginitis,0.275,0.074,1.024,0.054,0.17020082987551866
Overweight,0.27,0.071,1.023,0.054,0.17020082987551866
"Torticollis, unspecified",2.698,0.98,7.431,0.055,0.17277915632754343
Unspecified hemorrhoids with other complication,0.49,0.236,1.015,0.055,0.17277915632754343
Infection with microorganisms without mention of resistance to multiple quinolones and fluroquinolones,0.271,0.071,1.026,0.055,0.17277915632754343
"Arthritis due to other bacteria, right hip",0.249,0.06,1.029,0.055,0.17277915632754343
Other right bundle-branch block,0.746,0.553,1.008,0.056,0.17577520661157023
Cerebral infarction due to unspecified occlusion or stenosis of basilar artery,3.039,0.968,9.538,0.057,0.17832454695222405
Acquired absence of stomach [part of],0.432,0.182,1.024,0.057,0.17832454695222405
Other and unspecified anti-infectives causing adverse effects in therapeutic use,0.302,0.088,1.037,0.057,0.17832454695222405
Single live birth,0.081,0.006,1.083,0.057,0.17832454695222405
"Diabetes with renal manifestations, type I [juvenile type], uncontrolled",2.282,0.973,5.356,0.058,0.18085714285714286
Secondary malignant neoplasm of left adrenal gland,0.734,0.533,1.01,0.058,0.18085714285714286
"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",0.519,0.264,1.021,0.058,0.18085714285714286
Personal history of allergy to sulfonamides,0.366,0.129,1.034,0.058,0.18085714285714286
Enterostomy infection,3.03,0.961,9.556,0.059,0.18352334152334152
"Late effects of cerebrovascular disease, disturbances of vision",0.378,0.137,1.038,0.059,0.18352334152334152
Postmenopausal bleeding,0.271,0.069,1.054,0.059,0.18352334152334152
Family history of sudden cardiac death (SCD),2.573,0.96,6.896,0.06,0.18511779041429732
"Aplastic anemia, unspecified",2.484,0.962,6.412,0.06,0.18511779041429732
"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, sequela",2.179,0.967,4.912,0.06,0.18511779041429732
Dependence on renal dialysis,0.823,0.672,1.008,0.06,0.18511779041429732
Gross hematuria,0.753,0.561,1.012,0.06,0.18511779041429732
Other fall,0.732,0.529,1.013,0.06,0.18511779041429732
"Other incomplete lesion at T2-T6 level of thoracic spinal cord, sequela",0.407,0.159,1.039,0.06,0.18511779041429732
Supraventricular premature beats,0.37,0.131,1.045,0.06,0.18511779041429732
Sepsis due to Serratia,0.278,0.073,1.054,0.06,0.18511779041429732
Other nervous system complications,0.255,0.061,1.057,0.06,0.18511779041429732
"Displaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for closed fracture",2.073,0.967,4.445,0.061,0.1875935222672065
"Striking against sports equipment with subsequent fall, initial encounter",0.551,0.296,1.028,0.061,0.1875935222672065
"Motorcycle passenger injured in collision with fixed or stationary object in traffic accident, sequela",0.435,0.182,1.038,0.061,0.1875935222672065
